model,hyperparams,train_acc,train_std,test_acc,test_std,test_recall_mean,test_recall_std,test_precision_mean,test_precision_recall
nn,"{'alpha': 0.001, 'hidden_layer_sizes': (10, 20, 20, 10)}",97.95018670056407,0.3270345014377882,97.51491901108272,2.5304977912989703,,,,
nn,"{'alpha': 0.01, 'hidden_layer_sizes': (10, 10, 10)}",97.74287733111264,0.30766112430817816,97.42857142857142,2.000000000000004,,,,
nn,"{'alpha': 0.1, 'hidden_layer_sizes': (20, 10)}",97.56799656799656,0.30168543118741764,97.28571428571428,2.161820850060228,,,,
nn,"{'alpha': 0.0001, 'hidden_layer_sizes': (20, 10)}",97.73867217499534,0.3815161279794096,97.21867007672634,2.3117591035538294,,,,
nn,"{'alpha': 0.0001, 'hidden_layer_sizes': (10, 20, 20, 10)}",98.01517438627155,0.553383687473347,97.21867007672634,1.907621193900942,,,,
nn,"{'alpha': 0.1, 'hidden_layer_sizes': (16, 32, 64, 64, 32, 16)}",97.95016021821456,0.3866067351109786,97.2144075021313,2.5822205814025847,,,,
nn,"{'alpha': 0.1, 'hidden_layer_sizes': (10, 10, 10)}",97.44076008781892,0.3217300586352455,97.14285714285714,2.5555062599997616,,,,
nn,"{'alpha': 0.0001, 'hidden_layer_sizes': (20, 10)}",97.74287733111264,0.3941020442026821,97.14285714285714,2.5555062599997616,,,,
nn,"{'alpha': 0.1, 'hidden_layer_sizes': (20, 10)}",97.56797133267722,0.34122041739650816,97.14285714285714,2.3904572186687907,,,,
nn,"{'alpha': 0.001, 'hidden_layer_sizes': (10, 10, 10)}",97.59971736442327,0.6378138499954689,97.14285714285714,2.1189138534559087,,,,
nn,"{'alpha': 0.0001, 'hidden_layer_sizes': (10, 10, 10)}",97.62490400148302,0.41900696437011936,97.07800511508951,2.9796196784818685,,,,
nn,"{'alpha': 0.001, 'hidden_layer_sizes': (32, 32, 32, 32, 32, 32)}",98.42210216890444,0.8391414586461143,97.075873827792,3.0625315513401667,,,,
nn,"{'alpha': 0.1, 'hidden_layer_sizes': (80, 10)}",97.9664733455152,0.22153728088731192,97.07587382779198,2.7656817779212504,,,,
nn,"{'alpha': 0.01, 'hidden_layer_sizes': (20, 10)}",97.70620481449114,0.2565497670756178,97.07587382779198,2.7746675913151253,,,,
nn,"{'alpha': 0.01, 'hidden_layer_sizes': (20, 10)}",97.60853790948332,0.35700185800964984,97.07374254049446,2.354219794491885,,,,
nn,"{'alpha': 0.001, 'hidden_layer_sizes': (10, 20, 20, 10)}",97.8037657901009,0.444255898036265,97.07374254049446,2.069326314355173,,,,
nn,"{'alpha': 0.0001, 'hidden_layer_sizes': (80, 10)}",98.34069542649824,0.4976850716153534,97.07374254049446,2.4519818925740715,,,,
